sweep_setting,reference,method,metric,n,interval_available,mean_method_minus_reference,ci_low,ci_high,method_win_rate,reference_win_rate,tie_rate
drift=0.0,adaptive_ridge,ensemble_mean,rmse,30,true,0.06720129999612486,0.05211705454942807,0.08228554544282164,0.0,1.0,0.0
drift=0.0,adaptive_ridge,oracle_best_member,rmse,30,true,0.11192188614282005,0.08867417214509404,0.13516960014054605,0.0,1.0,0.0
drift=0.0,adaptive_ridge,validation_best_member,rmse,30,true,0.1121827575100085,0.08886661785134899,0.13549889716866803,0.0,1.0,0.0
drift=0.2,adaptive_ridge,static_ridge,rmse,30,true,-0.000649881570804009,-0.0028273829209250097,0.0015276197793169918,0.7333333333333333,0.26666666666666666,0.0
drift=0.2,adaptive_ridge,rls,rmse,30,true,-0.00714649369010519,-0.00828063209053225,-0.006012355289678131,1.0,0.0,0.0
drift=0.2,adaptive_ridge,hedge,rmse,30,true,0.04283213449754298,0.033527951176084765,0.052136317819001195,0.0,1.0,0.0
drift=0.2,adaptive_ridge,exp3,rmse,30,true,0.18299629348892707,0.1694544625070826,0.19653812447077154,0.0,1.0,0.0
drift=0.2,adaptive_ridge,fixed_share,rmse,30,true,0.026013238647769128,0.019353276012593075,0.03267320128294518,0.06666666666666667,0.9333333333333333,0.0
drift=0.2,adaptive_ridge,passive_aggressive,rmse,30,true,-0.0006311736387553858,-0.002129293142132498,0.0008669458646217264,0.7,0.3,0.0
drift=0.2,adaptive_ridge,ensemble_mean,rmse,30,true,0.050344425106626275,0.039293028104062024,0.06139582210919053,0.0,1.0,0.0
drift=0.2,adaptive_ridge,oracle_best_member,rmse,30,true,0.1057871401536267,0.09105204895358357,0.12052223135366982,0.0,1.0,0.0
drift=0.2,adaptive_ridge,validation_best_member,rmse,30,true,0.10867548669802989,0.09329318962026575,0.12405778377579402,0.0,1.0,0.0
drift=0.4,adaptive_ridge,static_ridge,rmse,30,true,-0.0018529017434992915,-0.004690748530658571,0.0009849450436599878,0.8333333333333334,0.16666666666666666,0.0
drift=0.4,adaptive_ridge,rls,rmse,30,true,-0.011909163406156739,-0.013328751828207362,-0.010489574984106116,1.0,0.0,0.0
drift=0.4,adaptive_ridge,hedge,rmse,30,true,0.042007984469542674,0.028148670130331916,0.055867298808753435,0.0,1.0,0.0
drift=0.4,adaptive_ridge,exp3,rmse,30,true,0.2498721295202679,0.22923226132165941,0.2705119977188764,0.0,1.0,0.0
drift=0.4,adaptive_ridge,fixed_share,rmse,30,true,0.023613877829258067,0.014739280920743754,0.03248847473777238,0.1,0.9,0.0
drift=0.4,adaptive_ridge,passive_aggressive,rmse,30,true,-0.0072060281222535915,-0.009461098542464345,-0.0049509577020428385,0.9333333333333333,0.06666666666666667,0.0
drift=0.4,adaptive_ridge,ensemble_mean,rmse,30,true,0.061411254547111896,0.042234010674370014,0.08058849841985377,0.0,1.0,0.0
drift=0.4,adaptive_ridge,oracle_best_member,rmse,30,true,0.14620111613279085,0.1203625720162777,0.172039660249304,0.0,1.0,0.0
drift=0.4,adaptive_ridge,validation_best_member,rmse,30,true,0.16545480415335576,0.13689788182404206,0.19401172648266946,0.0,1.0,0.0
drift=0.6,adaptive_ridge,static_ridge,rmse,30,true,-0.005132878865393805,-0.008606031331362772,-0.0016597263994248376,0.8,0.2,0.0
drift=0.6,adaptive_ridge,rls,rmse,30,true,-0.018424061945586597,-0.02061199504460458,-0.016236128846568613,1.0,0.0,0.0
drift=0.6,adaptive_ridge,hedge,rmse,30,true,0.04653965113594424,0.028430665692589115,0.06464863657929937,0.1,0.9,0.0
drift=0.6,adaptive_ridge,exp3,rmse,30,true,0.3181609251330262,0.2916448443330081,0.3446770059330443,0.0,1.0,0.0
drift=0.6,adaptive_ridge,fixed_share,rmse,30,true,0.02759762281938296,0.015101322418668399,0.04009392322009752,0.06666666666666667,0.9333333333333333,0.0
drift=0.6,adaptive_ridge,passive_aggressive,rmse,30,true,-0.017489800653219697,-0.02073573156993849,-0.014243869736500905,1.0,0.0,0.0
drift=0.6,adaptive_ridge,ensemble_mean,rmse,30,true,0.08541917707279918,0.05709150547472418,0.11374684867087419,0.03333333333333333,0.9666666666666667,0.0
drift=0.6,adaptive_ridge,oracle_best_member,rmse,30,true,0.1733325830264835,0.14573729609973068,0.2009278699532363,0.0,1.0,0.0
drift=0.6,adaptive_ridge,validation_best_member,rmse,30,true,0.17357084092947392,0.14594301565546194,0.2011986662034859,0.0,1.0,0.0
drift=0.8,adaptive_ridge,static_ridge,rmse,30,true,-0.00948612270236679,-0.013693653946826034,-0.005278591457907544,0.8666666666666667,0.13333333333333333,0.0
drift=0.8,adaptive_ridge,rls,rmse,30,true,-0.026132177798833388,-0.02937297041351097,-0.022891385184155805,1.0,0.0,0.0
drift=0.8,adaptive_ridge,hedge,rmse,30,true,0.05241913298200882,0.03060194976784402,0.07423631619617363,0.13333333333333333,0.8666666666666667,0.0
drift=0.8,adaptive_ridge,exp3,rmse,30,true,0.3824818451500619,0.35006264191715347,0.4149010483829703,0.0,1.0,0.0
drift=0.8,adaptive_ridge,fixed_share,rmse,30,true,0.034997521006905265,0.017595624905164312,0.05239941710864622,0.1,0.9,0.0
