regime,seed,tau,lambda,quadratic_validation_rmse,irls_norm_validation_rmse,exact_norm_validation_rmse,quadratic_vs_irls_prediction_max_abs,irls_vs_exact_prediction_max_abs,irls_vs_exact_prediction_relative_l2,quadratic_fit_seconds,irls_fit_seconds,exact_fit_seconds,quadratic_objective,irls_norm_objective,exact_norm_objective,irls_vs_exact_relative_objective,irls_iterations,irls_converged,irls_stationarity_residual,irls_relative_objective_change,irls_convergence_reason
gradual,4,3,0.01,0.21756354379064916,0.2208197786837142,0.22082104122178026,0.03884697941494153,1.9218805580756282e-5,6.453651968138587e-6,0.0021089999999999998,0.0056719000000000006,3.309278,0.015674274335096633,2.955907661738261,2.955907663356713,5.47531324850641e-10,3,true,6.6399594123386095e-9,8.363891308078417e-11,strict_smoothed_stationarity
gradual,4,3,0.1,0.20914556047092894,0.21349087213875603,0.21349083521995027,0.12646468370971647,2.0325466009163407e-5,6.900219383446757e-6,0.0022258,0.0317776,3.5932745,0.03178742362298821,3.966752268490223,3.9667522699292084,3.6276159371235634e-10,5,true,8.451056855054033e-8,1.0963553501999287e-10,objective_and_practical_stationarity
gradual,4,5,0.001,0.23254878506830176,0.23335567179511132,0.23335566710008093,0.009976071127855812,4.000877540377701e-7,1.53857755785713e-7,0.0057034,0.0129645,7.1858623,0.01169369384999862,2.6316603098187152,2.631660309819246,2.016546754878386e-13,2,true,1.2039722219140297e-9,2.9703919314092044e-10,strict_smoothed_stationarity
gradual,4,5,0.01,0.22667002059376196,0.23152325395406867,0.23152346497099924,0.06334179562854536,5.9802228397909385e-6,2.031090678891903e-6,0.0055168000000000005,0.0151496,7.9861588,0.013869791249554501,2.743571188938158,2.743571189015462,2.8176393357582487e-11,3,true,1.5146082120901508e-8,4.738749999355424e-10,objective_and_practical_stationarity
gradual,4,5,0.1,0.2141862924253546,0.2219607048030669,0.2219608240698592,0.15204883312593598,1.1406915845446619e-5,4.434122887434209e-6,0.0065074,0.0355148,8.6541742,0.030474612078856076,3.789141552552416,3.789141552852105,7.909145491290219e-11,6,true,1.678337087823424e-8,4.902027288631023e-12,objective_and_practical_stationarity
gradual,5,1,0.001,0.09207548361110257,0.09583182540055742,0.0958317217742048,0.023728795603546793,8.841971990136699e-7,2.5411571793170784e-7,0.0005299,0.0007702,0.5431325,0.0016133172267342097,0.8620260711770956,0.8620260711803435,3.7676893365780285e-12,2,true,8.593577048673519e-10,5.909138844906181e-9,strict_smoothed_stationarity
gradual,5,1,0.01,0.0823613395081092,0.09378900506947183,0.09378893623211558,0.12948599955382223,5.037903012539147e-7,2.1212740441396474e-7,0.0005122,0.0014213,0.6404419,0.004826747793463821,1.005628206807936,1.005628206810942,2.988995134098543e-12,4,true,2.633735743407482e-10,4.243370649851055e-12,strict_smoothed_stationarity
gradual,5,1,0.1,0.10796539507193578,0.08317237544665197,0.08317510528417417,0.19439212281162885,3.200800046188057e-5,1.03731585884058e-5,0.0005029,0.0018634,0.9612056,0.024085444677673918,2.36487525899774,2.3648752616778603,1.1333029565074521e-9,9,true,2.4099548209257546e-8,4.0427019140453266e-11,objective_and_practical_stationarity
gradual,5,3,0.001,0.08634087771100059,0.08938222050690571,0.08938225614810939,0.03341068699023442,6.449542242492612e-7,2.343452888494286e-7,0.0486461,0.0040259,2.6976283999999997,0.001379310136756029,0.7669158367148347,0.7669158367177901,3.8536349753847905e-12,2,true,1.2409227066506826e-9,1.3810075416564871e-8,strict_smoothed_stationarity
gradual,5,3,0.01,0.08710581300711845,0.0878600674281269,0.0878595738467873,0.16669484696875458,4.158387932440277e-6,1.5642350788927422e-6,0.0023207,0.0062023,2.6165448000000002,0.004629644092390619,0.91430778272093,0.9143077827481486,2.976958224812053e-11,4,true,5.266040122228458e-10,1.8495427411835408e-11,strict_smoothed_stationarity
gradual,5,3,0.1,0.12619330347428495,0.08385426444918505,0.08385453937421965,0.2851209094892224,9.256293597714738e-6,3.2018427876194114e-6,0.0016803,0.0262593,3.5241454,0.02361609298331423,2.2986196896550193,2.298619689714129,2.5715261364538358e-11,9,true,7.043780352501421e-8,3.6237570029873625e-10,objective_and_practical_stationarity
gradual,5,5,0.001,0.09338134024908996,0.09592282233206222,0.09592283267589377,0.03865052575596295,7.881626282735255e-7,2.624749369818381e-7,0.005179700000000001,0.0122656,6.136868600000001,0.0012004614698676113,0.6911869424844042,0.6911869424888353,6.410888087567569e-12,2,true,1.5702807962157733e-9,2.4993753178215172e-8,strict_smoothed_stationarity
gradual,5,5,0.01,0.09879601819513754,0.09468074994328923,0.09468055801463632,0.17668666009245948,3.830478841004847e-6,1.5900438804747702e-6,0.0053186,0.0246452,6.3433061,0.004382375884265869,0.839135050395806,0.8391350504454266,5.91329487200687e-11,4,true,8.065434477622941e-10,4.788991425641598e-11,strict_smoothed_stationarity
gradual,5,5,0.1,0.13258532574856882,0.0938496398043966,0.09385045807045243,0.33009527458001675,1.2116127258154918e-5,4.663839539032014e-6,0.0062721,0.0543995,9.7589056,0.02301165398406317,2.2217076686697292,2.221707669183178,2.3110548976502243e-10,10,true,3.04387965931037e-8,7.552408850057826e-11,objective_and_practical_stationarity
recurring,1,1,0.001,0.05119974007870997,0.048318596360631134,0.04831858838097106,0.21264324336818663,4.205825380410033e-6,5.277243132096213e-7,0.0006456999999999999,0.0010381000000000001,0.5617853,0.001540254370928526,0.7229284546945743,0.7229284547438859,6.821083679285836e-11,3,true,2.0347331856269443e-9,1.0322842691756762e-8,strict_smoothed_stationarity
recurring,1,1,0.01,0.06154418455374415,0.04865738287535807,0.048657106818762064,0.24671819517311988,3.5407174530099894e-5,3.6443749467836793e-6,0.0005161,0.0014579999999999999,0.9055603,0.004678403346652871,0.9304205623345082,0.9304205627306767,4.257951278002237e-10,6,true,1.6614647842188104e-8,5.129970670481043e-9,objective_and_practical_stationarity
recurring,1,1,0.1,0.09047100309800464,0.060155255289916984,0.060155564781715465,0.19923664252946716,3.62819197741171e-6,1.2311476937999642e-6,0.0005627,0.046789,1.0834873,0.024380491153472576,2.345750502322328,2.3457505028378423,2.1976518700204412e-10,8,true,6.643485519622208e-8,3.94093852658847e-10,objective_and_practical_stationarity
recurring,1,3,0.001,0.05102150858914969,0.05064362845130079,0.050643786148742105,0.19428397146855314,6.4975432036984415e-6,1.0213056247867343e-6,0.0020967,0.0050917,2.6567544,0.0013698606982341314,0.6504562468003822,0.650456246848588,7.411087826856642e-11,3,true,2.7834172028058473e-9,2.0868732963919e-8,strict_smoothed_stationarity
recurring,1,3,0.01,0.061919866533940146,0.0496234243733589,0.04962355978849348,0.28379838151009684,2.3084649110494126e-5,3.84861712364815e-6,0.0205573,0.0089178,1.9428662,0.004441708603866408,0.8607575331668026,0.8607575343482654,1.3725849258620113e-9,7,true,4.245954282083341e-9,3.5478664450749875e-10,strict_smoothed_stationarity
