cvar_05,cvar_15,dataset,fit_seconds,lambda,linear_solver,mae,mape,mape_valid_fraction,max_abs_error,mean_error,median_abs_error,method,n,n_parameters,objective_variant,q95_abs_error,rmse,smape,solve_seconds,tau,wape,fit_and_test_seconds,diagnostic_only,oracle_member_index,oracle_standardized_rmse,selected_member_index,sweep,setting,seed
0.7300680615719918,0.5907514974301248,synthetic_gradual,0.0029711,0.1,cholesky,0.24836686095349825,130.73670343643786,1.0,0.9722460800028427,0.1781547356894592,0.2117273737647677,adaptive_ridge,1000,48,quadratic,0.6126147377740145,0.31186787741308375,59.20261171789612,0.0002128,5,38.79616270350408,,,,,,members,3.0,3
0.7256852307831203,0.584082903787457,synthetic_gradual,5.99e-5,0.1,,0.24558718823155223,131.7459897806599,1.0,0.9616963709511841,0.17577836591483678,0.21381563850609675,static_ridge,1000,,,0.6166297157782166,0.30829024455667503,58.879224451565825,,,38.36196373360487,,,,,,members,3.0,3
0.7208891511191954,0.5415699649778762,synthetic_gradual,,,,0.20359738139660705,65.86214389475607,1.0,1.3388583302508068,0.058735814789631156,0.15381506874553882,rls,1000,,,0.5686807612494971,0.27098046064482645,53.72866688154447,,,31.802943051041872,0.0019052,,,,,members,3.0,3
0.7874626484538169,0.655915192411383,synthetic_gradual,,,,0.3010252491898724,179.19625536039564,1.0,1.1150534683165136,0.2680390363767516,0.2657478459172361,hedge,1000,,,0.6861881213794732,0.36351341839560175,63.07754298084136,,,47.021669882197926,0.0026031,,,,,members,3.0,3
1.0567420611735558,0.8544000633214945,synthetic_gradual,,,,0.3717945658864308,189.21002847669692,1.0,1.9572498871475434,0.22780587208759467,0.32308748247966873,exp3,1000,,,0.9092893777363964,0.46091759054240844,72.07406363868728,,,58.076195894384156,0.001179,,,,,members,3.0,3
0.7899056883605742,0.6588965802568496,synthetic_gradual,,,,0.28831739019433755,158.4272273234696,1.0,1.1952975787033484,0.21583491760597107,0.25244516231637537,fixed_share,1000,,,0.6750409123549597,0.3555763483214972,60.33371426613768,,,45.03663788835127,0.0016004,,,,,members,3.0,3
1.6178384382573683,1.0430220160236,synthetic_gradual,,,,0.31987385722307804,103.551295149346,1.0,5.139030858973308,0.030473560644913193,0.20157399728442355,passive_aggressive,1000,,,1.0640445229705158,0.5143069257269389,62.92197863433851,,,49.965918004445335,0.000261,,,,,members,3.0,3
0.8039141573223835,0.666619398180409,synthetic_gradual,,,,0.3104206510213934,190.13240883837034,1.0,1.1360308220621733,0.28129591221113265,0.28368670514353594,ensemble_mean,1000,,,0.7033018077877606,0.3728531911613911,65.20338849970936,,,48.48927927550074,,,,,,members,3.0,3
1.0364296021019028,0.8292758095055298,synthetic_gradual,,,,0.36518221897969705,171.93949473725147,1.0,1.9572498871475434,0.2154022489802416,0.31865039146514984,oracle_best_member,1000,,,0.8907014145593046,0.45094047335623727,71.52736279666672,,,57.04331378820943,,true,2,0.45094047335623727,,members,3.0,3
1.0364296021019028,0.8292758095055298,synthetic_gradual,,,,0.36518221897969705,171.93949473725147,1.0,1.9572498871475434,0.2154022489802416,0.31865039146514984,validation_best_member,1000,,,0.8907014145593046,0.45094047335623727,71.52736279666672,,,57.04331378820943,,,,,2,members,3.0,3
