dataset,objective_variant,tau,lambda,validation_rmse,validation_mae,validation_cvar_05,fit_seconds,preparation_seconds,solve_seconds,condition_number,linear_solver,converged,iterations,residual_norm,relative_objective_change,stationarity_residual,convergence_reason,n_parameters
safi,quadratic_stacked,4,1.0,0.38558958686806083,0.2920928549642348,0.9940520770343124,0.042346800000000004,0.0406187,0.0017281,35033.81290796849,cholesky,true,0,6.372993214822936e-16,NaN,NaN,,150
safi,quadratic_stacked,4,2.0,0.405328446373759,0.30812369647058535,1.0315784880470276,0.0425028,0.0406187,0.0018841,18875.010048070046,cholesky,true,0,7.121570807722521e-16,NaN,NaN,,150
safi,quadratic_stacked,5,0.0,0.3520657111465429,0.2584152054629501,0.960277705344394,0.028031599999999997,0.0248404,0.0031912,4.227974534755281e6,cholesky,true,0,6.159235723294278e-15,NaN,NaN,,186
safi,quadratic_stacked,5,1.0e-6,0.3520661909936658,0.2584157439205082,0.9602768172210934,0.18464029999999998,0.0248404,0.1597999,4.227470135703112e6,cholesky,true,0,7.736969470440498e-15,NaN,NaN,,186
safi,quadratic_stacked,5,0.0001,0.35211522433317144,0.2584696405454559,0.960189944043741,0.028155299999999998,0.0248404,0.0033149,4.1782274172265646e6,cholesky,true,0,6.818150645976847e-15,NaN,NaN,,186
safi,quadratic_stacked,5,0.001,0.3526680305946913,0.2590385785829992,0.959744117780727,0.0281369,0.0248404,0.0032965,3.784671231051635e6,cholesky,true,0,6.7445988651926755e-15,NaN,NaN,,186
safi,quadratic_stacked,5,0.01,0.3597813764866827,0.2665128607995916,0.9704287733123013,0.0279896,0.0248404,0.0031492,2.016799977052115e6,cholesky,true,0,4.2126611107566705e-15,NaN,NaN,,186
safi,quadratic_stacked,5,0.1,0.380773531145697,0.28710291894186996,0.9978251592600969,0.027894699999999998,0.0248404,0.0030543,376094.4789766483,cholesky,true,0,1.4718587540969318e-15,NaN,NaN,,186
safi,quadratic_stacked,5,1.0,0.3852572166578581,0.2924699593963366,0.9919550860648626,0.1123239,0.0248404,0.0874835,44355.181433816964,cholesky,true,0,1.0190294348093824e-15,NaN,NaN,,186
safi,quadratic_stacked,5,2.0,0.4055783348637568,0.30896225110538084,1.0337433728862504,0.0282889,0.0248404,0.0034485,23899.05590842484,cholesky,true,0,6.957467179462814e-16,NaN,NaN,,186
safi,quadratic_stacked,7,0.0,0.3522003415159823,0.25917123604995185,0.9625679836233714,0.0637053,0.0569322,0.0067731,6.218103184685307e6,cholesky,true,0,1.053636743370662e-14,NaN,NaN,,258
safi,quadratic_stacked,7,1.0e-6,0.35220138611569346,0.259171971491482,0.9625686229310509,0.0787868,0.0569322,0.0218546,6.217244042343191e6,cholesky,true,0,9.50815682538244e-15,NaN,NaN,,258
safi,quadratic_stacked,7,0.0001,0.35230562560785716,0.2592477209542946,0.9626290879972914,0.0645097,0.0569322,0.0075775,6.133628378718732e6,cholesky,true,0,9.874883156542971e-15,NaN,NaN,,258
safi,quadratic_stacked,7,0.001,0.35330227165549405,0.26010057600444864,0.9629666291762349,0.064442,0.0569322,0.0075098,5.48228669420724e6,cholesky,true,0,9.498577016504574e-15,NaN,NaN,,258
safi,quadratic_stacked,7,0.01,0.362233354686754,0.26842543934633994,0.9744789916924889,0.0646154,0.0569322,0.0076832,2.8023913108536373e6,cholesky,true,0,6.0568949164682e-15,NaN,NaN,,258
safi,quadratic_stacked,7,0.1,0.38304410415990736,0.2886278105113893,1.006701678194751,0.0648668,0.0569322,0.0079346,508227.86460540496,cholesky,true,0,2.3059411528447953e-15,NaN,NaN,,258
safi,quadratic_stacked,7,1.0,0.3852767432904194,0.2929906387983502,0.9913094123243701,0.0647625,0.0569322,0.0078303,59596.81355080381,cholesky,true,0,1.026889591767227e-15,NaN,NaN,,258
safi,quadratic_stacked,7,2.0,0.4062157297796124,0.3098238354398534,1.034219107464181,0.064565,0.0569322,0.0076328,32100.636615018866,cholesky,true,0,9.634036325230256e-16,NaN,NaN,,258
safi,quadratic_stacked,10,0.0,0.3526371867847071,0.25958704944993394,0.9706083204291249,0.1696421,0.1478339,0.0218082,1.1122548957283612e7,cholesky,true,0,1.4917519682775913e-14,NaN,NaN,,366
safi,quadratic_stacked,10,1.0e-6,0.35263678344080723,0.25958701141146057,0.9706048045040784,0.1683071,0.1478339,0.0204732,1.1120576215228371e7,cholesky,true,0,1.2830472758963684e-14,NaN,NaN,,366
safi,quadratic_stacked,10,0.0001,0.35260205950729345,0.25959005622228615,0.9702652839972576,0.1675701,0.1478339,0.0197362,1.0929353091291873e7,cholesky,true,0,1.3834327040436828e-14,NaN,NaN,,366
