condition_number,fit_seconds,iterations,lambda,linear_solver,n_parameters,objective_variant,preparation_seconds,residual_norm,solve_seconds,tau,validation_cvar_05,validation_mae,validation_rmse,method,converged,convergence_reason,exact_fallback_used,relative_change,relative_objective_change,stationarity_residual,fit_and_validation_seconds,window,forgetting,ridge,eta,gamma,seed,share,C,epsilon,variance_forgetting,epochs,hidden,learning_rate,weight_decay,max_depth,min_leaf,n_trees
,0.023220499999999998,2,0.0001,irls+cholesky,114,norm_plus_norm_irls,0.0203851,,0.0017972,3,0.967559873002883,0.25925959629021544,0.35318549206403527,adaptive_robust_norm,true,strict_smoothed_stationarity,false,3.2692649160941e-5,7.33995280885296e-11,4.326992893744155e-10,,,,,,,,,,,,,,,,,,
,0.0246981,3,0.001,irls+cholesky,114,norm_plus_norm_irls,0.0203851,,0.0026953999999999997,3,0.9675965322739358,0.25946781414821946,0.35335899460308123,adaptive_robust_norm,true,strict_smoothed_stationarity,false,5.482099957278394e-5,2.1241161799555655e-10,7.304066604844496e-9,,,,,,,,,,,,,,,,,,
,0.0355191,6,0.01,irls+cholesky,114,norm_plus_norm_irls,0.0203851,,0.011881199999999998,3,0.9688191087603216,0.2621712897667489,0.355673071453587,adaptive_robust_norm,true,objective_and_practical_stationarity,false,5.221645513710783e-5,2.2807875882061003e-10,7.221367965720991e-8,,,,,,,,,,,,,,,,,,
,0.0324007,8,0.1,irls+cholesky,114,norm_plus_norm_irls,0.0203851,,0.0074291999999999995,3,0.9954438725078648,0.28452452969813385,0.37807899776923515,adaptive_robust_norm,true,objective_and_practical_stationarity,false,1.378689379515533e-5,8.52351965518411e-12,9.053494058133719e-8,,,,,,,,,,,,,,,,,,
,0.0580372,19,1.0,irls+cholesky,114,norm_plus_norm_irls,0.0203851,,0.019884100000000005,3,1.00331150400541,0.29461581882318555,0.38841960815401444,adaptive_robust_norm,true,objective_and_practical_stationarity,false,9.78491623242319e-8,1.6516343226113136e-14,3.9951810224218963e-8,,,,,,,,,,,,,,,,,,
,0.2837445,123,2.0,irls+cholesky,114,norm_plus_norm_irls,0.0203851,,0.1640646,3,1.459787113876845,0.44765852857713667,0.5852043936172994,adaptive_robust_norm,true,objective_and_practical_stationarity,false,1.598867803523012e-8,3.1058676838045414e-15,9.325293554008916e-8,,,,,,,,,,,,,,,,,,
,0.0345803,2,0.0,irls+cholesky,186,norm_plus_norm_irls,0.0221018,,0.005771200000000001,5,0.960277705344394,0.2584152054629501,0.3520657111465429,adaptive_robust_norm,true,iterate_objective_and_strict_stationarity,false,0.0,0.0,2.8615262781231252e-15,,,,,,,,,,,,,,,,,,
,0.029266900000000002,2,1.0e-6,irls+cholesky,186,norm_plus_norm_irls,0.0221018,,0.0056751,5,0.9602774688155437,0.2584153488648784,0.3520658388989397,adaptive_robust_norm,true,strict_smoothed_stationarity,false,4.620736423555351e-8,1.6889722738320978e-16,6.066694189344471e-15,,,,,,,,,,,,,,,,,,
,0.029247500000000003,2,0.0001,irls+cholesky,186,norm_plus_norm_irls,0.0221018,,0.0055645,5,0.9602540835964584,0.2584295352453282,0.35207862200149387,adaptive_robust_norm,true,strict_smoothed_stationarity,false,4.189709819457014e-5,1.0486936765760892e-10,4.78160285575802e-10,,,,,,,,,,,,,,,,,,
,0.0331041,3,0.001,irls+cholesky,186,norm_plus_norm_irls,0.0221018,,0.0086889,5,0.9600469164645031,0.25856709141434886,0.35220675514934946,adaptive_robust_norm,true,strict_smoothed_stationarity,false,7.633931098527136e-5,3.546116863180785e-10,8.722815515559263e-9,,,,,,,,,,,,,,,,,,
,0.0465133,6,0.01,irls+cholesky,186,norm_plus_norm_irls,0.0221018,,0.0194393,5,0.9613919105340077,0.2609820953496164,0.3543948718723126,adaptive_robust_norm,true,objective_and_practical_stationarity,false,8.303995364871565e-5,4.719178541877172e-10,9.583374062031131e-8,,,,,,,,,,,,,,,,,,
