,Ridge_ensemble
455,4.134909655112336
456,4.173394462308904
457,5.0171133911704935
458,4.967730309118554
459,4.784607232398227
460,4.719216062149991
461,4.685729175234374
462,4.695725284350142
463,4.898721463805046
464,4.8845254139142895
465,4.338875592525687
466,4.032979135420751
467,4.320497242921394
468,4.103476136304967
469,4.221900365633088
470,4.753354385230116
471,4.6750160797969125
472,4.738869845351044
473,4.749561326541597
474,4.769975267016864
475,4.683044893020639
476,4.79866282387068
477,4.600537316122486
478,4.424063103480094
479,4.477326617734044
480,4.433619035617205
481,5.012295743650561
482,4.932153390112505
483,4.575710008906999
484,4.2312375105896916
485,3.9062788307386813
486,3.9484155177566502
487,3.798242762123774
488,3.5443834947488395
489,3.397125311962077
490,3.608149711993715
491,4.016817632740428
492,4.551266927633747
493,4.079822322282116
494,3.7796890765276667
495,4.061003337742502
496,4.369374762263924
497,4.212035772439412
498,3.995049267999393
499,3.982462615445452
500,3.7768627656265967
501,3.604792154803829
502,3.0823381218525068
503,2.272604042893502
504,1.279298534649382
505,2.1294158284104636
506,2.289579799083927
507,2.7591126574293785
508,2.9500322859342596
509,2.830410775006057
510,2.5227363412326356
511,2.5756203224180663
512,2.5417749630639896
513,2.2958780612070653
514,2.810671640513092
515,2.879492892095965
516,3.1610345013222743
517,3.26183555591327
518,3.3561508309216292
519,3.3609852857825864
520,3.4975109247614156
521,2.8696313937491076
522,3.0421488697686088
523,3.3245623400537143
524,3.48968056815516
525,3.3524451434239793
526,2.9141455844090562
527,2.1883364735118223
528,2.0813525772270136
529,2.2565698594749284
530,2.5085862083056947
531,3.4560834800737332
532,3.6578411885627022
533,3.458519471866974
534,2.9912340835684033
535,2.680734329442611
536,2.3222993530156666
537,2.260679966595184
538,2.8473762758098795
539,2.950978333316885
540,2.80705777120406
541,3.2162822522736594
542,3.3754940408680145
543,3.5125152666756962
544,3.731126690111057
545,3.960985097119121
546,4.226872773074504
547,4.413991803311317
548,4.31910880641404
549,4.046374697702454
550,3.9755887204422184
551,3.7585723846577324
552,3.8643443078137296
553,3.8490049746946093
554,3.3894512655781037
555,3.1861491740680306
556,3.309616383179726
557,3.775345982265131
558,3.8548759209496812
559,3.4673575874338747
560,3.147923816732487
561,3.081841833016404
562,3.3386504331410296
563,3.7463406313664738
564,3.730571866497223
