,Ridge_Alpha_Beta_Full_ensemble
708,2.993348454582639
709,2.519659173266282
710,2.644747230699395
711,2.5344634579441565
712,2.7361246671504778
713,3.06916871354552
714,3.1065416617637562
715,3.130534267927496
716,3.100299319461416
717,2.7652733402671443
718,2.1988310158961752
719,1.9572307805045557
720,1.7994026631727393
721,2.1433895579515267
722,2.8081610673155573
723,3.687783093541439
724,3.4640585017777314
725,3.773966296247168
726,3.4850553595112816
727,2.6692460543927523
728,2.0420167087984784
729,1.6504714985692772
730,1.5032011740096975
731,1.7334021631451662
732,2.53738715278733
733,2.6690555442680046
734,3.0664092275550474
735,3.1526278934764056
736,3.193274811093608
737,3.4503653640418106
738,3.592920994080015
739,3.6671029388631378
740,3.8603251219214734
741,3.6848719898794
742,3.9393487359399386
743,3.4532181637126387
744,3.210264717286055
745,2.96073347861671
746,2.8407618586429915
747,3.134104835778341
748,3.263296682379152
749,4.151160074952797
750,3.8720498020420275
751,4.11659823172291
752,3.721461645448929
753,3.444593535165777
754,3.507672155226265
755,3.6984510458983677
756,4.186019015267121
757,4.429876737319947
758,4.536939021999762
759,4.687650730791742
760,4.592547270169732
761,4.542357112754849
762,3.895961844121144
763,3.6504088227637252
764,3.3752927094198313
765,3.9235117088571534
